title,author,source_name,source_year,source_rank,source_category,isbn13,source_url
Emotional Intelligence 2.0,Travis Bradberry,Goodreads Library,2025,231,personal-library,9780974320625,
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,Goodreads Library,2025,232,personal-library,,
I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,Goodreads Library,2025,233,personal-library,9781523505746,
"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,Goodreads Library,2025,234,personal-library,9781476708690,
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,Goodreads Library,2025,235,personal-library,9780812993394,
Onward: How Starbucks Fought for Its Life without Losing Its Soul,Howard Schultz,Goodreads Library,2025,236,personal-library,9781605292885,
Traction: A Startup Guide to Getting Customers,Gabriel Weinberg,Goodreads Library,2025,237,personal-library,9780976339601,
The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,Bethany McLean,Goodreads Library,2025,238,personal-library,9781591840534,
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Goodreads Library,2025,239,personal-library,9780307352149,
Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,Goodreads Library,2025,240,personal-library,9780684841489,
The Infinite Game,Simon Sinek,Goodreads Library,2025,241,personal-library,9780735213500,
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,Goodreads Library,2025,242,personal-library,9781455554799,
"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,Goodreads Library,2025,243,personal-library,9781591840565,
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,Goodreads Library,2025,244,personal-library,9780988262591,
"Great by Choice: Uncertainty, Chaos, and Luck—Why Some Thrive Despite Them All",Jim Collins,Goodreads Library,2025,245,personal-library,9780062121004,
Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Mike Michalowicz,Goodreads Library,2025,246,personal-library,,
The Long Tail: Why the Future of Business is Selling Less of More,Chris Anderson,Goodreads Library,2025,247,personal-library,9781401309664,
The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,Goodreads Library,2025,248,personal-library,9781591841661,
The Checklist Manifesto: How to Get Things Right,Atul Gawande,Goodreads Library,2025,249,personal-library,9780805091748,
Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,Goodreads Library,2025,250,personal-library,9781501121746,
The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,Goodreads Library,2025,251,personal-library,9781422188613,
How Google Works,Eric Schmidt,Goodreads Library,2025,252,personal-library,,
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,Goodreads Library,2025,253,personal-library,9780593152386,
"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,Goodreads Library,2025,254,personal-library,9780684852867,
Tribes: We Need You to Lead Us,Seth Godin,Goodreads Library,2025,255,personal-library,9781591842330,
Give and Take: A Revolutionary Approach to Success,Adam M. Grant,Goodreads Library,2025,256,personal-library,9780670026555,
Linchpin: Are You Indispensable?,Seth Godin,Goodreads Library,2025,257,personal-library,9781591843160,
The One Minute Manager,Kenneth H. Blanchard,Goodreads Library,2025,258,personal-library,9780688014292,
Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,Goodreads Library,2025,259,personal-library,9780060517120,
Who Moved My Cheese?,Spencer Johnson,Goodreads Library,2025,260,personal-library,9780091883768,
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,Goodreads Library,2025,261,personal-library,9780142000281,
Rework,Jason Fried,Goodreads Library,2025,262,personal-library,9780307463746,
The Invisible Gorilla: And Other Ways Our Intuitions Deceive Us,Christopher Chabris,Goodreads Library,2025,263,personal-library,9780307459657,
How We Decide,Jonah Lehrer,Goodreads Library,2025,264,personal-library,9780618620111,
Noise: A Flaw in Human Judgment,Daniel Kahneman,Goodreads Library,2025,265,personal-library,9780316451406,
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,Goodreads Library,2025,266,personal-library,9780060889579,
Think Twice: Harnessing the Power of Counterintuition,Michael J. Mauboussin,Goodreads Library,2025,267,personal-library,9781422176757,
The Power of Positive Deviance: How Unlikely Innovators Solve the World's Toughest Problems,Richard Tanner Pascale,Goodreads Library,2025,268,personal-library,9781422110669,
The Power of Moments: Why Certain Experiences Have Extraordinary Impact,Chip Heath,Goodreads Library,2025,269,personal-library,9781501147760,
The Paradox of Choice: Why More Is Less,Barry Schwartz,Goodreads Library,2025,270,personal-library,9780060005696,
The Last Mile: Creating Social and Economic Value from Behavioral Insights (Rotman-Utp Publishing),Dilip Soman,Goodreads Library,2025,271,personal-library,9781442650435,
Founder vs Investor: The Honest Truth About Venture Capital from Startup to IPO,Elizabeth Joy Zalman,Goodreads Library,2025,272,personal-library,9781400242764,
Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker,Goodreads Library,2025,273,personal-library,9780062416179,
Stumbling on Happiness,Daniel Todd Gilbert,Goodreads Library,2025,274,personal-library,9781400077427,
Start at the End: How to Build Products That Create Change,Matt Wallaert,Goodreads Library,2025,275,personal-library,9780525534433,
"Sidetracked: Why Our Decisions Get Derailed, and How We Can Stick to the Plan",Francesca Gino,Goodreads Library,2025,276,personal-library,9781422142691,
Redirect: The Surprising New Science of Psychological Change,Timothy D. Wilson,Goodreads Library,2025,277,personal-library,9780316051880,
Misbelief: What Makes Rational People Believe Irrational Things,Dan Ariely,Goodreads Library,2025,278,personal-library,9780063280441,
Payoff: The Hidden Logic That Shapes Our Motivations (TED Books),Dan Ariely,Goodreads Library,2025,279,personal-library,9781501120046,
The Honest Truth About Dishonesty: How We Lie to Everyone - Especially Ourselves,Dan Ariely,Goodreads Library,2025,280,personal-library,9780062183590,
The Upside of Irrationality: The Unexpected Benefits of Defying Logic at Work and at Home,Dan Ariely,Goodreads Library,2025,281,personal-library,9780061995033,
Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,Goodreads Library,2025,282,personal-library,9781586487980,
More Than Good Intentions: How a New Economics Is Helping to Solve Global Poverty,Dean Karlan,Goodreads Library,2025,283,personal-library,9780525951896,
Irrational Exuberance,Robert J. Shiller,Goodreads Library,2025,284,personal-library,9780767923637,
How Change Happens,Cass R. Sunstein,Goodreads Library,2025,285,personal-library,9780262039574,
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit V. Banerjee,Goodreads Library,2025,286,personal-library,,
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Goodreads Library,2025,287,personal-library,9780061234002,
Everything is Obvious: Once You Know the Answer,Duncan J. Watts,Goodreads Library,2025,288,personal-library,9780385531689,
Crossover Creativity: Real-life stories about where creativity comes from,Dave Trott,Goodreads Library,2025,289,personal-library,9780857199881,
The Power of Ignorance: How creative solutions emerge when we admit what we don’t know,Dave Trott,Goodreads Library,2025,290,personal-library,9780857198365,
Creative Mischief,Dave Trott,Goodreads Library,2025,291,personal-library,9780956435705,
Creative Blindness (And How To Cure It): Real-life stories of remarkable creative vision,Dave Trott,Goodreads Library,2025,292,personal-library,9780857197313,
One Plus One Equals Three: A Masterclass in Creative Thinking,Dave Trott,Goodreads Library,2025,293,personal-library,,
Predatory Thinking: A Masterclass in Out-Thinking the Competition,Dave Trott,Goodreads Library,2025,294,personal-library,9780230770669,
"Lightbringer (Red Rising, 6)",Pierce Brown,Goodreads Library,2025,295,personal-library,,
"Storyworthy: Engage, Teach, Persuade, and Change Your Life through the Power of Storytelling",Matthew Dicks,Goodreads Library,2025,296,personal-library,9781608685486,
A Swim in a Pond in the Rain,George Saunders,Goodreads Library,2025,297,personal-library,9781984856043,
Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,Goodreads Library,2025,298,personal-library,,
The Creating Brain: The Neuroscience of Genius,Nancy C. Andreasen,Goodreads Library,2025,299,personal-library,9781932594072,
Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,Goodreads Library,2025,300,personal-library,9781400064281,
Pimp: The Story of My Life,Iceberg Slim,Goodreads Library,2025,301,personal-library,9780862415938,
Bigger Than This: How to Turn Any Venture Into An Admired Brand,Fabian Geyrhalter,Goodreads Library,2025,302,personal-library,9780989646178,
Frames Of Mind: The Theory Of Multiple Intelligences,Howard Gardner,Goodreads Library,2025,303,personal-library,9780465025107,
I'm OK - You're OK,Thomas A. Harris,Goodreads Library,2025,304,personal-library,9780060724276,
This Time Is Different: Eight Centuries of Financial Folly,Carmen M. Reinhart,Goodreads Library,2025,305,personal-library,9780691142166,
The How to Make Money in Stocks Complete Investing System: Your Ultimate Guide to Winning in Good Times and Bad,William J. O'Neil,Goodreads Library,2025,306,personal-library,9780071752114,
Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin,Goodreads Library,2025,307,personal-library,9780670021253,
You'll Be Perfect When You're Dead: Collected Online Writings of Dan Harmon,Dan  Harmon,Goodreads Library,2025,308,personal-library,,
"The Long, Hot Winter: A Year in the Life of the Portland Trail Blazers",Rick Adelman,Goodreads Library,2025,309,personal-library,9780671748524,
Zag: The Number One Strategy of High-Performance Brands,Marty Neumeier,Goodreads Library,2025,310,personal-library,9780321426772,
The Brand Gap,Marty Neumeier,Goodreads Library,2025,311,personal-library,9780321348104,
The Pursuit of Attention: Power and Ego in Everyday Life,Charles Derber,Goodreads Library,2025,312,personal-library,9780195135497,
Magic Words,Jonah Berger,Goodreads Library,2025,313,personal-library,9780063204935,
The Catalyst: How to Change Anyone's Mind,Jonah Berger,Goodreads Library,2025,314,personal-library,9781982108601,
Invisible Influence: The Hidden Forces that Shape Behavior,Jonah Berger,Goodreads Library,2025,315,personal-library,9781476759692,
The Hero and the Outlaw: Building Extraordinary Brands Through the Power of Archetypes,Margaret Mark,Goodreads Library,2025,316,personal-library,9780071364157,
Small Giants: Companies That Choose to Be Great Instead of Big,Bo Burlingham,Goodreads Library,2025,317,personal-library,9781591841494,
The 22 Immutable Laws of Marketing,Al Ries,Goodreads Library,2025,318,personal-library,9780062351401,
"Construction Scrum: How to Deliver Projects Easier, Better, and Faster",Felipe Engineer-Manriquez,Goodreads Library,2025,319,personal-library,9798497721669,
The Crux: How Leaders Become Strategists,Richard P. Rumelt,Goodreads Library,2025,320,personal-library,9781788169509,
Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,Goodreads Library,2025,321,personal-library,9780307886255,
The Long and the Short of it: Balancing Short and Long-Term Marketing Strategies,Les Binet,Goodreads Library,2025,322,personal-library,9780852941348,
"How Brands Grow: Part 2: Emerging Markets, Services, Durables, New and Luxury Brands",Jenni Romaniuk,Goodreads Library,2025,323,personal-library,9780195596267,
How Brands Grow: What Marketers Don't Know,Byron Sharp,Goodreads Library,2025,324,personal-library,9780195573565,
"If It's Purple, Someone's Gonna Die: The Power of Color in Visual Storytelling: The Power of Color in Visual Storytelling",Patti Bellantoni,Goodreads Library,2025,325,personal-library,9780240806884,
The Filmmaker's Handbook: A Comprehensive Guide for the Digital Age,Steven Ascher,Goodreads Library,2025,326,personal-library,9780452279575,
"Master Shots Vol 3, The Director's Vision: 100 Setups, Scenes and Moves for Your Breakthrough Movie",Christopher Kenworthy,Goodreads Library,2025,327,personal-library,9781615931545,
Master Shots Vol 2: Shooting Great Dialogue Scenes,Christopher Kenworthy,Goodreads Library,2025,328,personal-library,9781615930555,
"Master Shots Vol 1, 1st edition: 100 Advanced Camera Techniques to Get an Expensive Look on Your Low-Budget Movie",Christopher Kenworthy,Goodreads Library,2025,329,personal-library,9781932907513,
"Taking it All In: Film Writings, 1980-1983",Pauline Kael,Goodreads Library,2025,330,personal-library,9780714528410,
Something Like an Autobiography,Akira Kurosawa,Goodreads Library,2025,331,personal-library,9780394714394,
"Rebel Without a Crew, or How a 23-Year-Old Filmmaker with $7,000 Became a Hollywood Player",Robert Rodríguez,Goodreads Library,2025,332,personal-library,9780452271876,
On Directing Film,David Mamet,Goodreads Library,2025,333,personal-library,9780140127225,
In the Blink of an Eye: A Perspective on Film Editing,Walter Murch,Goodreads Library,2025,334,personal-library,9781879505629,
Making Movies,Sidney Lumet,Goodreads Library,2025,335,personal-library,9780679756606,
Hollywood Producers Directory: A Specialized Resource for Producers and Filmmakers,Jesse Douma,Goodreads Library,2025,336,personal-library,,
"Actual Minds, Possible Worlds",Bruner,Goodreads Library,2025,337,personal-library,9780674003668,
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,Goodreads Library,2025,338,personal-library,9780884271789,
Negotiating with Backbone: Eight Sales Strategies to Defend Your Price and Value,Reed K. Holden,Goodreads Library,2025,339,personal-library,9780133064766,
Pricing with Confidence: 10 Ways to Stop Leaving Money on the Table,Reed K. Holden,Goodreads Library,2025,340,personal-library,9780470197578,
CEO Excellence: The Six Mindsets That Distinguish the Best Leaders from the Rest,Carolyn Dewar,Goodreads Library,2025,341,personal-library,9781982179670,
Setting the Table: The Transforming Power of Hospitality in Business,Danny  Meyer,Goodreads Library,2025,342,personal-library,,
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,Goodreads Library,2025,343,personal-library,9781400067824,
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),Nassim Nicholas Taleb,Goodreads Library,2025,344,personal-library,9780812975215,
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,Goodreads Library,2025,345,personal-library,9781400063512,
Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,Goodreads Library,2025,346,personal-library,9780241300657,
The Soul of Enterprise: Dialogues on Business in the Knowledge Economy,Ronald J. Baker,Goodreads Library,2025,347,personal-library,,
Professional's Guide to Value Pricing,Ronald J. Baker,Goodreads Library,2025,348,personal-library,9780735543171,
Pricing on Purpose: Creating and Capturing Value,Ronald J. Baker,Goodreads Library,2025,349,personal-library,9780471729808,
Implementing Value Pricing: A Radical Business Model for Professional Firms,Ronald J. Baker,Goodreads Library,2025,350,personal-library,9780470929575,
Range: Why Generalists Triumph in a Specialized World,David   Epstein,Goodreads Library,2025,351,personal-library,9780735214484,
Switch: How to Change Things When Change Is Hard,Chip Heath,Goodreads Library,2025,352,personal-library,9780385528757,
One from Many: VISA and the Rise of Chaordic Organization,Dee Hock,Goodreads Library,2025,353,personal-library,9781576753323,
The Fast Track Course on How to Write a Nonfiction Book Proposal,Stephen Blake Mettee,Goodreads Library,2025,354,personal-library,9781884956225,
Obliquity: Why Our Goals Are Best Achieved Indirectly,John Kay,Goodreads Library,2025,355,personal-library,9781846682889,
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,Goodreads Library,2025,356,personal-library,9780735216358,
The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,Chet Holmes,Goodreads Library,2025,357,personal-library,9781591841609,
The Robert Collier Letter Book,Robert Collier,Goodreads Library,2025,358,personal-library,9780912576206,
The E-myth Revisited,Michael E. Gerber,Goodreads Library,2025,359,personal-library,9780887307287,
Resonate: Present Visual Stories that Transform Audiences,Nancy Duarte,Goodreads Library,2025,360,personal-library,9780470632017,
Breakout Brands: Why Some Brands Take Off…and Others Don’t,Jared Schrieber,Goodreads Library,2025,361,personal-library,9781544535043,
How to Tell a Story and Other Essays,Mark Twain,Goodreads Library,2025,362,personal-library,9780195101492,
How to Tell a Story: The Essential Guide to Memorable Storytelling from The Moth,Meg Bowles,Goodreads Library,2025,363,personal-library,9780593139004,
Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,Will Guidara,Goodreads Library,2025,364,personal-library,9780593418574,
The Master Game (Consciousness Classics),Robert S. de Ropp,Goodreads Library,2025,365,personal-library,9780895561503,
Mastering the VC Game: A Venture Capital Insider Reveals How to Get from Start-up to IPO on Your Terms,Jeffrey Bussgang,Goodreads Library,2025,366,personal-library,9781591843252,
Marketing for business growth,Theodore Levitt,Goodreads Library,2025,367,personal-library,9780070374157,
Maxims for Revolutionists,George Bernard Shaw,Goodreads Library,2025,368,personal-library,,
Dotcom Secrets,Russell Brunson,Goodreads Library,2025,369,personal-library,9781401961053,
The Road to Character,David  Brooks,Goodreads Library,2025,370,personal-library,9780812993257,
It Doesn't Have to Be Crazy at Work,Jason Fried,Goodreads Library,2025,371,personal-library,9780062874788,
Why People Buy: Motivation Research and Its Successful Application,Louis Cheskin,Goodreads Library,2025,372,personal-library,9780871409621,
The EOS Life: How to Live Your Ideal Entrepreneurial Life (The Traction Library),Gino Wickman,Goodreads Library,2025,373,personal-library,9781637740132,
"Entrepreneurial Leap, Updated and Expanded Edition",Gino Wickman,Goodreads Library,2025,374,personal-library,9781637743119,
How to Be a Great Boss,Gino Wickman,Goodreads Library,2025,375,personal-library,9781942952848,
What the Heck Is EOS?: A Complete Guide for Employees in Companies Running on EOS,Gino Wickman,Goodreads Library,2025,376,personal-library,9781944648817,
Rocket Fuel: The One Essential Combination That Will Get You More of What You Want from Your Business,Gino Wickman,Goodreads Library,2025,377,personal-library,9781941631157,
The Diary of a CEO: The 33 Laws of Business and Life,Steven Bartlett,Goodreads Library,2025,378,personal-library,9780593715833,
The Behavioral Economics Guide 2014,Alain Samson,Goodreads Library,2025,379,personal-library,,
Transport for Humans: Are We Nearly There Yet?,Pete Dyson,Goodreads Library,2025,380,personal-library,9781913019358,
Decoded: The Science Behind Why We Buy,Phil Barden,Goodreads Library,2025,381,personal-library,9781119673101,
Alchemy: The Surprising Power of Ideas That Don't Make Sense,Rory Sutherland,Goodreads Library,2025,382,personal-library,9780753556511,
Financial Management of a Marketing Firm,David C. Baker,Goodreads Library,2025,383,personal-library,,
Managing (Right) for the First Time,David C. Baker,Goodreads Library,2025,384,personal-library,9781605440026,
Secret Tradecraft of Elite Advisors: Covert Techniques for a Remarkable Practice,David C. Baker,Goodreads Library,2025,385,personal-library,9781605440897,
The Business of Expertise: How Entrepreneurial Experts Convert Insight to Impact + Wealth,David C. Baker,Goodreads Library,2025,386,personal-library,9781605440606,
Unmanaged: Master the Magic of Creating Empowered and Happy Organizations,Jack Skeels,Goodreads Library,2025,387,personal-library,9798989250806,
The Growth Leader: Strategies to Drive the Top and Bottom Lines,Scott K. Edinger,Goodreads Library,2025,388,personal-library,9781639080472,
"The Art of Selling: We Make Order Makers, Not Order Takers",Alison L. Mullins,Goodreads Library,2025,389,personal-library,9798891091641,
The Confidential Internet Intelligence Manuscript,Mark Joyner,Goodreads Library,2025,390,personal-library,9780974613314,
The Intelligence Trap: Why Smart People Make Dumb Mistakes,David   Robson,Goodreads Library,2025,391,personal-library,9780393651423,
The Expectation Effect: How Your Mindset Can Change Your World,David   Robson,Goodreads Library,2025,392,personal-library,9781250827630,
DUMMIES GUIDE TO STARTING YOUR OWN BUSINESS: A QUICK GUIDE TO A SUCCESSFUL ENTREPRENEURSHIP,Robert J. McKeen,Goodreads Library,2025,393,personal-library,,
The On-Purpose Person: Making Your Life Make Sense : A Modern Parable,Kevin W. McCarthy,Goodreads Library,2025,394,personal-library,9780891097051,
"Managing Negative Emotions: How to deal with anger, anxiety, and irritation anywhere and anytime",Byron Neal,Goodreads Library,2025,395,personal-library,,
"A Small Book about a Big Problem: Meditations on Anger, Patience, and Peace",Edward T. Welch,Goodreads Library,2025,396,personal-library,9781945270130,
"Good and Angry: Redeeming Anger, Irritation, Complaining, and Bitterness",David A. Powlison,Goodreads Library,2025,397,personal-library,9781942572978,
The Heart of Anger: How the Bible Transforms Anger in Our Understanding and Experience,Christopher Ash,Goodreads Library,2025,398,personal-library,9781433568480,
Help! My Anger is Out of Control,Jim Newheiser,Goodreads Library,2025,399,personal-library,9781633420748,
Uprooting Anger: Biblical Help for a Common Problem,Robert D.  Jones,Goodreads Library,2025,400,personal-library,9781596380059,
Anger: Handling a Powerful Emotion in a Healthy Way,Gary Chapman,Goodreads Library,2025,401,personal-library,9781881273882,
The Laws of Human Nature,Robert Greene,Goodreads Library,2025,402,personal-library,9780698184541,
"King of Capital: The Remarkable Rise, Fall, and Rise Again of Steve Schwarzman and Blackstone",David Carey,Goodreads Library,2025,403,personal-library,9780307452993,
Creative Capital,Spencer E. Ante,Goodreads Library,2025,404,personal-library,9781422101223,
The New Financial Capitalists: Kohlberg Kravis Roberts and the Creation of Corporate Value,George P. Baker,Goodreads Library,2025,405,personal-library,9780521642606,
Done Deals: Venture Capitalists Tell Their Stories,Udayan Gupta,Goodreads Library,2025,406,personal-library,9780875849386,
The Masters of Private Equity and Venture Capital: Management Lessons from the Pioneers of Private Investing,Finkel,Goodreads Library,2025,407,personal-library,9780071624602,
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,Goodreads Library,2025,408,personal-library,9781594205224,
The Road to Serfdom,Friedrich A. Hayek,Goodreads Library,2025,409,personal-library,9780226320618,
The Game of Numbers,Nick Murray,Goodreads Library,2025,410,personal-library,,
Zen Golf: Mastering the Mental Game,Joseph Parent,Goodreads Library,2025,411,personal-library,9780385504461,
Wit and Wisdom of the American Presidents: A Book of Quotations,Joslyn Pine,Goodreads Library,2025,412,personal-library,9780486414270,
Working Together: Why Great Partnerships Succeed,Michael D. Eisner,Goodreads Library,2025,413,personal-library,9780062009722,
Crush It!: Why Now Is the Time to Cash In on Your Passion,Gary Vaynerchuk,Goodreads Library,2025,414,personal-library,9780061914171,
Samson Syndrome,Mark Atteberry,Goodreads Library,2025,415,personal-library,9780785264477,
The Four Agreements Companion Book: Using the Four Agreements to Master the Dream of Your Life,Miguel Ruiz,Goodreads Library,2025,416,personal-library,9781878424488,
The Greatest Minds and Ideas of All Time,Will Durant,Goodreads Library,2025,417,personal-library,9780743235532,
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,Goodreads Library,2025,418,personal-library,9780060554736,
Winning,Jack Welch,Goodreads Library,2025,419,personal-library,9780060753948,
Up the Organization: How to Stop the Corporation from Stifling People and Strangling Profits,Robert C. Townsend,Goodreads Library,2025,420,personal-library,9780787987756,
The Book Thief,Markus Zusak,Goodreads Library,2025,421,personal-library,,
Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,Goodreads Library,2025,422,personal-library,9781578643660,
The Leadership Secrets of Billy Graham,Harold Myra,Goodreads Library,2025,423,personal-library,9780310255789,
How to Become a Rainmaker: The Rules for Getting and Keeping Customers and Clients,Jeffrey J. Fox,Goodreads Library,2025,424,personal-library,9780786865956,
"A Gentleman Gets Dressed Up: What to Wear, How to Wear It, and When to Wear It (Gentlemanners Book.)",John Bridges,Goodreads Library,2025,425,personal-library,9781401601119,
Accidental Millionaire: The Rise and Fall of Steve Jobs at Apple Computer,Lee Butcher,Goodreads Library,2025,426,personal-library,9780913729793,
Winners Never Cheat: Even in Difficult Times,Jon M. Huntsman Sr.,Goodreads Library,2025,427,personal-library,9780137009039,
The 17 Indisputable Laws of Teamwork: Embrace Them and Empower Your Team,John C. Maxwell,Goodreads Library,2025,428,personal-library,9780785274346,
They Call Me Coach,John Wooden,Goodreads Library,2025,429,personal-library,9780071424912,
Wooden: A Lifetime of Observations and Reflections On and Off the Court,John Wooden,Goodreads Library,2025,430,personal-library,9780809230419,
Beyond Positive Thinking: A No-Nonsense Formula for Getting the Results You Want,Robert  Anthony,Goodreads Library,2025,431,personal-library,9780975857021,
How Capitalism Will Save Us: Why Free People and Free Markets Are the Best Answer in Today's Economy,Steve Forbes,Goodreads Library,2025,432,personal-library,9780307463098,
Spy the Lie: Former CIA Officers Teach You How to Detect Deception,Philip Houston,Goodreads Library,2025,433,personal-library,9781250005854,
I'd Like the World to Buy a Coke: The Life and Leadership of Roberto Goizueta,David Greising,Goodreads Library,2025,434,personal-library,9780471194088,
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,Goodreads Library,2025,435,personal-library,9780060763282,
Built to Last: Successful Habits of Visionary Companies,Jim Collins,Goodreads Library,2025,436,personal-library,9780060566104,
The Law,Frédéric Bastiat,Goodreads Library,2025,437,personal-library,9781933550145,
The Wit and Wisdom of Abraham Lincoln: A Book of Quotations,Abraham Lincoln,Goodreads Library,2025,438,personal-library,,
7 Strategies for Wealth & Happiness: Power Ideas from America's Foremost Business Philosopher,Jim Rohn,Goodreads Library,2025,439,personal-library,9780761506164,
The ABC's of Building a Business Team That Wins: The Invisible Code of Honor That Takes Ordinary People and Turns Them into a Championship Team (Rich Dad's Advisors),Blair Singer,Goodreads Library,2025,440,personal-library,9780446694087,
Democracy in America,Alexis de Tocqueville,Goodreads Library,2025,441,personal-library,9780140447606,
The Analects,Confucius,Goodreads Library,2025,442,personal-library,9780140443486,
The Age of Reason,Thomas Paine,Goodreads Library,2025,443,personal-library,9781595479105,
"Common Sense: Thomas Paine: The Origin and Design of Government (American History Deluxe Edition, 1) (Common sense series)",Thomas Paine,Goodreads Library,2025,444,personal-library,9798726193540,
Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,Emerson Eggerichs,Goodreads Library,2025,445,personal-library,9781591451877,
The Power of Ethical Management,Norman Vincent Peale,Goodreads Library,2025,446,personal-library,9780688070625,
101 Questions to Ask Before You Get Engaged,H. Norman Wright,Goodreads Library,2025,447,personal-library,9780736913942,
Acting in Film: An Actor's Take on Movie Making,Michael Caine,Goodreads Library,2025,448,personal-library,,
A Few Lessons for Investors and Managers From Warren Buffett,Peter Bevelin,Goodreads Library,2025,449,personal-library,9781578647453,
"Aristotle, the Nicomachean Ethics: A Commentary",Harold Joachim,Goodreads Library,2025,450,personal-library,9780313248375,
15 Invaluable Laws of Growth (Tamil Edition),John C. Maxwell,Goodreads Library,2025,451,personal-library,,
The Greatest Salesman in the World,Og Mandino,Goodreads Library,2025,452,personal-library,9780553277579,
Pushing Up People: The Secret Behind One of the Most Exciting Success Stories in American Business,Art Williams,Goodreads Library,2025,453,personal-library,9789996455414,
Atlas Shrugged,Ayn Rand,Goodreads Library,2025,454,personal-library,9780452011878,
Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,Goodreads Library,2025,455,personal-library,9780060193393,
Fish: A Proven Way to Boost Morale and Improve Results,Stephen C. Lundin,Goodreads Library,2025,456,personal-library,9780786866021,
The Ultimate Gift (The Ultimate Series #1),Jim Stovall,Goodreads Library,2025,457,personal-library,9781589193574,
Eleven Rings: The Soul of Success,Phil Jackson,Goodreads Library,2025,458,personal-library,9781611761672,
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,Goodreads Library,2025,459,personal-library,9780446394598,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Goodreads Library,2025,460,personal-library,9780316204361,
The Road to Freedom: How to Win the Fight for Free Enterprise,Arthur C. Brooks,Goodreads Library,2025,461,personal-library,9780465029402,
A First-Rate Madness: Uncovering the Links Between Leadership and Mental Illness,S. Nassir Ghaemi,Goodreads Library,2025,462,personal-library,9781594202957,
Tribal Leadership: Leveraging Natural Groups to Build a Thriving Organization,Dave Logan,Goodreads Library,2025,463,personal-library,9780061251306,
Great Business Teams: Cracking the Code for Standout Performance,Howard M. Guttman,Goodreads Library,2025,464,personal-library,9780470122433,
Barbarians to Bureaucrats:  Corporate Life Cycle Strategies,Lawrence M. Miller,Goodreads Library,2025,465,personal-library,9780449905265,
What Every Body is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,Joe Navarro,Goodreads Library,2025,466,personal-library,9780061438295,
Every Job is a Sales Job: How to Use the Art of Selling to Win at Work,McGovern,Goodreads Library,2025,467,personal-library,9781260457377,
